,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
1301,NAVY,4008,728,243,126,75,39,54,18,9,12,38,18,105,5473,DoD,2014
1302,NGA,1,0,0,0,1,0,0,0,0,0,0,0,0,2,DoD,2014
1303,NGB,13,5,0,0,0,0,0,0,0,0,0,0,0,18,DoD,2014
1304,NORTHCOM,174,0,0,0,0,0,0,0,0,0,0,0,0,174,DoD,2014
1305,NRO,49,16,0,0,0,0,0,0,0,0,0,0,0,65,DoD,2014
1306,NSA,2003,113,48,23,28,9,4,2,0,2,7,4,3,2246,DoD,2014
1307,OSD/JS,447,5,1,0,0,1,0,0,0,0,0,0,0,454,DoD,2014
1308,PACOM,44,1,0,0,0,0,0,0,0,0,0,0,0,45,DoD,2014
1309,SOCOM,30,0,0,0,0,1,0,0,0,0,0,0,0,31,DoD,2014
1310,SOUTHCOM,30,1,0,0,0,0,0,0,0,0,0,0,0,31,DoD,2014
1311,STRATCOM,57,0,0,0,0,0,0,0,0,0,0,0,0,57,DoD,2014
1312,TRANSCOM,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DoD,2014
1313,Total,33379,1380,421,199,129,65,70,32,14,20,60,26,114,35909,DoD,2014
1314,AF,2870,230,55,27,13,13,9,7,3,5,11,4,7,3254,DoD,2015
1315,AFRICOM,3,4,1,0,2,1,0,0,0,0,0,0,0,11,DoD,2015
1316,ARMY,17433,0,0,0,0,0,0,0,0,0,0,0,0,17433,DoD,2015
1317,ASBCA,19,1,0,0,0,0,0,0,0,0,0,0,0,20,DoD,2015
1318,CENTCOM,2,0,1,0,2,2,2,0,1,0,0,0,0,10,DoD,2015
1319,DCAA,98,0,0,0,0,0,0,0,0,0,0,0,0,98,DoD,2015
1320,DCMA,94,18,4,0,0,0,0,0,0,0,0,0,0,116,DoD,2015
1321,DeCA,153,28,0,2,0,0,0,0,0,0,0,0,0,183,DoD,2015
1322,DFAS,139,25,3,0,0,0,0,0,0,0,0,0,0,167,DoD,2015
1323,DHA,4,3,2,0,0,0,1,0,1,0,0,0,0,11,DoD,2015
1324,DIA,365,0,0,0,0,0,0,0,0,0,0,0,0,365,DoD,2015
1325,DISA,111,24,5,5,1,6,3,0,0,0,5,2,5,167,DoD,2015
1326,DLA,3141,20,0,0,0,0,0,0,0,0,0,0,0,3161,DoD,2015
1327,DoD IG,177,6,0,2,0,0,0,0,0,0,0,0,0,185,DoD,2015
1328,DoDEA,25,7,0,0,0,0,0,0,0,0,0,0,0,32,DoD,2015
1329,DSS,67,0,0,0,0,0,0,0,0,0,0,0,0,67,DoD,2015
1330,DTIC,218,0,0,0,0,0,0,0,0,0,0,0,0,218,DoD,2015
1331,DTRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoD,2015
1332,EUCOM,43,4,3,0,0,0,0,0,0,0,0,0,0,50,DoD,2015
1333,JPRA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DoD,2015
1334,NAVY,3986,706,253,145,92,79,67,48,50,29,124,39,161,5779,DoD,2015
1335,NGA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DoD,2015
1336,NGB,15,0,0,0,0,0,0,1,0,0,0,0,0,16,DoD,2015
1337,NORTHCOM,115,1,0,0,0,0,0,0,0,0,0,0,0,116,DoD,2015
1338,NRO,44,2,0,0,0,0,0,0,0,0,0,0,0,46,DoD,2015
1339,NSA,977,70,18,13,4,7,3,2,1,1,5,21,20,1142,DoD,2015
1340,OSD/JS,693,0,0,0,0,0,0,0,0,0,0,0,0,693,DoD,2015
1341,PACOM,24,0,0,0,0,0,0,0,0,0,0,0,0,24,DoD,2015
1342,SOCOM,72,0,0,0,0,0,0,0,0,0,0,0,0,72,DoD,2015
1343,SOUTHCOM,47,0,0,0,0,0,0,0,0,0,0,0,0,47,DoD,2015
1344,STRATCOM,31,0,0,0,0,0,0,0,0,0,0,0,0,31,DoD,2015
1345,TRANSCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoD,2015
1346,Total,30970,1149,345,194,114,108,85,58,56,35,145,66,193,33518,DoD,2015
1347,FSA,35,28,15,13,10,8,8,17,13,9,28,7,7,198,ED,2008
1348,IES,3,0,3,1,0,4,3,1,1,1,4,2,2,25,ED,2008
1349,OCFO,2,1,0,0,0,0,0,0,0,0,0,2,2,7,ED,2008
1350,OCFO-CAM,3,5,6,3,7,6,2,3,0,4,9,8,11,67,ED,2008
1351,OCFO-FSS,0,0,0,0,0,0,0,0,0,1,0,0,0,1,ED,2008
1352,OCIO,1,2,0,1,0,0,0,0,0,0,0,0,0,4,ED,2008
1353,OCO,0,0,0,0,0,0,0,0,0,0,0,1,0,1,ED,2008
1354,OCR,4,2,3,2,7,0,4,1,4,1,1,0,1,30,ED,2008
1355,OCR-Atlanta,22,8,9,8,3,1,0,1,0,0,0,1,0,53,ED,2008
1356,OCR-Boston,56,18,8,1,2,1,0,0,0,0,0,0,0,86,ED,2008
1357,OCR-Chicago,48,38,2,0,0,0,0,0,0,0,0,0,0,88,ED,2008
1358,OCR-Cleveland,34,17,3,0,0,0,0,0,0,0,0,0,0,54,ED,2008
1359,OCR-Dallas,28,20,0,0,0,0,0,0,0,0,1,0,0,49,ED,2008
1360,OCR-Denver,29,11,3,0,1,0,0,0,0,0,0,0,0,44,ED,2008
1361,OCR-Kansas City,4,7,0,1,1,0,1,0,1,0,0,0,0,15,ED,2008
1362,OCR-Metro,38,15,3,5,4,1,0,1,0,0,0,0,0,67,ED,2008
1363,OCR-New York,54,26,13,7,9,5,1,4,2,1,11,1,0,134,ED,2008
1364,OCR-Philadelphia,17,11,4,4,3,3,4,2,2,2,4,0,0,56,ED,2008
1365,OCR-San Francisco,52,3,0,0,0,0,0,0,0,0,0,0,0,55,ED,2008
1366,OCR-Seattle,30,0,0,0,0,0,0,0,0,0,0,0,0,30,ED,2008
1367,OELA,0,0,0,1,1,0,0,0,1,0,1,5,3,12,ED,2008
1368,OESE,2,1,3,1,3,4,3,2,4,4,11,14,12,64,ED,2008
1369,OGC,0,0,1,0,0,0,0,0,0,1,0,1,4,7,ED,2008
1370,OIG,25,11,1,0,0,1,0,0,0,0,2,0,1,41,ED,2008
1371,OII,3,2,4,1,4,1,3,2,2,2,6,9,7,46,ED,2008
1372,OLCA,0,0,0,1,0,0,0,0,0,0,0,1,0,2,ED,2008
1373,OM,9,6,3,4,0,3,1,0,1,0,0,1,1,29,ED,2008
1374,OM-RIMS,83,44,11,9,13,7,5,6,5,5,10,10,9,217,ED,2008
1375,OPE,6,11,3,7,1,6,2,5,1,2,1,2,4,51,ED,2008
1376,OPEPD,0,0,0,0,1,0,0,0,0,0,0,1,2,4,ED,2008
1377,OS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ED,2008
1378,OSDFS,2,5,2,1,2,3,3,4,3,5,9,6,23,68,ED,2008
1379,OSERS,3,2,5,7,5,4,5,9,5,6,9,0,3,63,ED,2008
1380,OUS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ED,2008
1381,OVAE,1,2,0,1,3,0,0,0,0,0,1,0,1,9,ED,2008
1382,Total,594,296,105,79,80,58,45,58,45,44,108,72,95,1679,ED,2008
1383,FSA,68,52,8,3,2,2,3,0,1,2,15,8,6,170,ED,2009
1384,IES,18,9,3,0,0,0,0,0,0,0,0,1,0,31,ED,2009
1385,IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2009
1386,OCFO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2009
1387,OCFO-CAM,17,9,1,0,0,0,0,0,0,0,2,2,5,36,ED,2009
1388,OCFO-FSS,0,0,0,0,0,0,0,0,0,0,1,2,0,3,ED,2009
1389,OCIO,2,0,0,0,0,0,0,0,0,0,1,0,0,3,ED,2009
1390,OCO,0,0,0,0,0,0,0,0,0,0,0,1,0,1,ED,2009
1391,OCR,27,11,4,0,0,1,0,0,0,0,1,0,0,44,ED,2009
1392,OCR-Atlanta,44,14,5,3,5,1,1,0,1,0,1,0,0,75,ED,2009
1393,OCR-Boston,56,7,4,1,0,0,1,0,0,0,0,0,0,69,ED,2009
1394,OCR-Chicago,86,0,0,0,0,0,0,0,0,0,0,0,0,86,ED,2009
1395,OCR-Cleveland,25,0,0,0,0,0,0,0,0,0,0,0,0,25,ED,2009
1396,OCR-Dallas,38,4,0,1,0,1,0,0,0,0,0,0,0,44,ED,2009
1397,OCR-Denver,44,3,1,0,0,0,0,0,0,0,0,0,0,48,ED,2009
1398,OCR-Kansas City,19,5,3,1,2,3,0,2,0,0,1,0,0,36,ED,2009
1399,OCR-Metro,53,5,2,1,1,1,0,1,0,0,0,0,0,64,ED,2009
1400,OCR-New York,88,22,15,1,2,4,2,0,3,1,1,1,0,140,ED,2009
1401,OCR-Philadelphia,17,15,11,5,4,0,1,0,1,1,2,0,3,60,ED,2009
1402,OCR-San Francisco,41,0,0,0,0,0,0,0,0,0,0,0,0,41,ED,2009
1403,OCR-Seattle,15,0,0,0,0,0,0,0,0,0,0,0,0,15,ED,2009
1404,OELA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2009
1405,OESE,20,2,3,3,0,1,0,0,0,0,6,0,0,35,ED,2009
1406,OGC,3,1,0,0,0,1,1,0,0,0,4,3,1,14,ED,2009
1407,OIG,11,7,2,1,0,0,0,0,0,0,0,0,0,21,ED,2009
1408,OII,8,3,1,0,1,0,0,0,0,0,1,3,5,22,ED,2009
1409,OLCA,0,0,0,0,0,0,0,0,0,0,0,2,0,2,ED,2009
1410,OM,9,6,0,1,0,0,0,0,0,0,1,0,0,17,ED,2009
1411,OM-RIMS,154,11,7,3,1,0,0,0,0,0,2,4,4,186,ED,2009
1412,OPE,19,6,2,0,0,0,0,0,0,0,2,6,1,36,ED,2009
1413,OPEPD,10,0,0,0,0,0,0,0,0,0,0,0,3,13,ED,2009
1414,OS,1,1,0,1,0,0,0,0,0,0,1,0,0,4,ED,2009
1415,OSDFS,4,5,6,2,0,0,2,2,0,0,6,0,0,27,ED,2009
1416,OSERS,11,4,0,1,2,1,0,0,0,0,2,0,0,21,ED,2009
1417,OUS,2,0,1,0,0,0,0,0,0,0,0,0,0,3,ED,2009
1418,OVAE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2009
1419,Total,914,202,79,28,20,16,11,5,6,4,50,33,28,1396,ED,2009
1420,FSA,35,37,28,17,14,9,10,4,3,2,22,13,0,194,ED,2010
1421,IES,9,7,6,2,1,1,1,1,0,0,0,0,0,28,ED,2010
1422,IES-NAGB,0,0,0,0,1,0,0,0,0,0,1,4,0,6,ED,2010
1423,OCFO,0,0,0,0,0,2,0,0,1,0,1,1,0,5,ED,2010
1424,OCFO-CAM,3,8,5,7,2,2,2,1,1,0,2,0,0,33,ED,2010
1425,OCFO-FSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2010
1426,OCIO,0,0,0,1,1,0,1,0,0,0,0,0,0,3,ED,2010
1427,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2010
1428,OCR,12,21,11,2,3,0,1,1,0,0,0,0,0,51,ED,2010
1429,OCR-1 Boston,22,20,15,3,2,1,2,0,0,0,0,0,0,65,ED,2010
1430,OCR-2 New York,71,42,15,5,4,4,2,2,1,1,3,0,0,150,ED,2010
1431,OCR-3 Philadelphia,10,13,9,6,8,2,2,1,1,3,2,0,0,57,ED,2010
1432,OCR-4 Atlanta,26,23,5,2,1,0,1,0,0,0,0,1,0,59,ED,2010
1433,OCR-5 Chicago,59,44,2,0,0,0,0,0,0,0,0,0,0,105,ED,2010
1434,OCR-6 Dallas,14,11,0,0,0,0,0,0,0,0,0,0,0,25,ED,2010
1435,OCR-7 Kansas City,8,6,10,3,2,0,0,0,0,0,0,0,0,29,ED,2010
1436,OCR-8 Denver,22,16,0,0,0,0,0,0,0,0,0,0,0,38,ED,2010
1437,OCR-9 San Francisco,37,0,0,0,0,0,0,0,0,0,0,0,0,37,ED,2010
1438,OCR-10 Seattle,20,1,0,0,0,0,0,0,0,0,0,0,0,21,ED,2010
1439,OCR-12 Cleveland,9,22,3,0,0,0,0,0,0,0,0,0,0,34,ED,2010
1440,OCR-Metro D.C.,22,4,2,4,0,2,0,2,1,1,0,0,0,38,ED,2010
1441,OELA,2,2,0,0,0,0,0,0,0,1,0,0,0,5,ED,2010
1442,OESE,12,8,3,13,6,4,3,4,2,2,6,1,0,64,ED,2010
1443,OGC,0,0,0,0,1,0,0,0,0,0,0,0,0,1,ED,2010
1444,OIG,28,6,4,0,2,3,1,0,0,0,0,0,0,44,ED,2010
1445,OII,13,7,4,7,0,2,0,0,1,1,2,3,0,40,ED,2010
1446,OLCA,0,0,0,1,1,1,0,0,0,0,1,0,0,4,ED,2010
1447,OM,3,1,3,3,0,0,0,1,0,0,0,0,0,11,ED,2010
1448,OM-RIMS,93,42,38,25,19,10,16,4,4,3,17,3,1,275,ED,2010
1449,OPE,7,12,10,15,8,5,3,4,1,0,2,1,0,68,ED,2010
1450,OPEPD,1,0,3,0,2,1,1,0,1,1,2,1,0,13,ED,2010
1451,OS,0,0,0,0,0,0,0,0,0,0,1,0,0,1,ED,2010
1452,OSDFS,14,7,9,5,9,1,4,1,1,3,3,0,0,57,ED,2010
1453,OSERS,5,9,4,3,0,0,2,0,0,0,0,2,0,25,ED,2010
1454,OUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2010
1455,OVAE,2,1,1,2,1,0,0,0,0,0,0,0,0,7,ED,2010
1456,Total,559,370,190,126,88,50,52,26,18,18,65,30,1,1593,ED,2010
1457,FSA,68,81,47,10,1,0,0,2,1,1,7,1,0,219,ED,2011
1458,IES,5,12,10,3,1,0,0,0,0,0,0,0,0,31,ED,2011
1459,IES-NAGB,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ED,2011
1460,OCFO,0,1,0,0,0,0,0,0,0,0,0,1,0,2,ED,2011
1461,OCFO-CAM,3,12,11,1,0,0,0,1,0,1,0,0,0,29,ED,2011
1462,OCIO,0,2,1,0,0,0,0,0,0,0,2,0,0,5,ED,2011
1463,OCO,0,1,0,0,0,0,0,1,0,0,0,0,0,2,ED,2011
1464,OCR,16,31,15,2,0,1,0,0,0,0,0,0,0,65,ED,2011
1465,OCR-1 Boston,88,26,11,5,0,0,0,0,0,0,0,0,0,130,ED,2011
1466,OCR-2 New York,65,28,10,6,4,1,4,2,2,1,2,0,0,125,ED,2011
1467,OCR-3 Philadelphia,51,4,2,1,0,0,0,0,0,1,2,0,0,61,ED,2011
1468,OCR-4 Atlanta,39,17,1,0,0,1,0,0,1,0,0,0,0,59,ED,2011
1469,OCR-5 Chicago,114,14,0,0,0,0,0,0,0,0,0,0,0,128,ED,2011
1470,OCR-6 Dallas,51,5,0,0,1,0,0,0,0,0,0,0,0,57,ED,2011
1471,OCR-7 Kansas City,17,5,4,3,1,0,1,0,0,0,3,1,0,35,ED,2011
1472,OCR-8 Denver,39,10,3,1,0,0,0,0,0,0,0,0,0,53,ED,2011
1473,OCR-9 San Francisco,59,0,0,0,0,0,0,0,0,0,0,0,0,59,ED,2011
1474,OCR-10 Seattle,113,0,0,0,0,0,0,0,0,0,0,0,0,113,ED,2011
1475,OCR-12 Cleveland,33,2,1,0,0,0,0,0,0,0,0,0,0,36,ED,2011
1476,OCR-Metro D.C.,35,7,1,0,2,0,2,1,1,0,0,0,0,49,ED,2011
1477,OELA,2,3,1,0,0,0,0,0,0,1,2,0,0,9,ED,2011
1478,OESE,11,21,5,5,0,0,2,0,2,0,2,0,0,48,ED,2011
1479,OGC,3,1,0,0,0,0,0,0,0,0,1,0,0,5,ED,2011
1480,OIG,40,3,1,0,0,0,0,0,0,0,1,0,0,45,ED,2011
1481,OII,7,13,12,2,0,0,0,0,2,0,2,0,0,38,ED,2011
1482,OLCA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ED,2011
1483,OM,7,10,4,2,0,0,0,0,1,0,0,0,0,24,ED,2011
1484,OM-PIRMS,57,18,11,2,0,2,3,1,5,0,5,4,1,109,ED,2011
1485,OPE,24,42,41,7,0,0,1,0,0,0,1,0,0,116,ED,2011
1486,OPEPD,3,4,1,0,0,0,0,0,1,0,0,0,0,9,ED,2011
1487,OS,0,0,0,0,0,0,0,0,0,0,0,1,0,1,ED,2011
1488,OSDFS,4,6,14,6,0,0,0,1,13,12,1,1,0,58,ED,2011
1489,OSERS,4,5,4,2,1,0,0,0,0,2,2,1,0,21,ED,2011
1490,OUS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,ED,2011
1491,OVAE,4,3,2,0,0,0,0,0,0,0,0,0,0,9,ED,2011
1492,Total,962,389,213,58,11,5,13,9,30,19,33,10,1,1753,ED,2011
1493,FSA,65,81,50,10,3,3,2,2,2,1,1,0,0,220,ED,2012
1494,IES,7,14,6,1,1,0,0,2,0,0,0,0,0,31,ED,2012
1495,IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2012
1496,M,11,7,2,4,1,1,0,0,0,0,0,0,4,30,ED,2012
1497,OCFO,1,1,0,1,0,0,0,0,0,0,0,0,0,3,ED,2012
1498,OCFO-CAM,13,14,7,7,2,1,0,1,0,0,1,0,0,46,ED,2012
1499,OCIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2012
1500,OCO,0,0,0,0,0,0,0,1,0,0,0,0,0,1,ED,2012
1501,OCR,32,27,11,2,0,1,0,0,0,0,0,0,0,73,ED,2012
1502,OCR-1 Boston,51,30,14,17,10,5,3,0,0,1,3,2,4,140,ED,2012
1503,OCR-2 New York,76,25,16,6,4,2,3,1,0,2,7,3,2,147,ED,2012
1504,OCR-3 Philadelphia,65,6,0,0,0,0,0,0,0,0,0,0,0,71,ED,2012
1505,OCR-4 Atlanta,34,11,10,3,0,0,1,0,0,1,0,0,0,60,ED,2012
1506,OCR-5 Chicago,120,14,0,0,0,0,0,0,0,0,0,0,0,134,ED,2012
1507,OCR-6 Dallas,32,14,1,0,0,0,0,0,0,0,0,0,0,47,ED,2012
1508,OCR-7 Kansas City,13,5,1,2,0,0,1,1,0,0,0,0,0,23,ED,2012
1509,OCR-8 Denver,46,3,0,0,0,0,0,0,0,0,0,0,0,49,ED,2012
1510,OCR-9 San Francisco,48,5,0,0,0,0,0,0,0,0,0,0,0,53,ED,2012
1511,OCR-10 Seattle,59,1,0,0,0,0,0,0,0,0,0,0,0,60,ED,2012
1512,OCR-12 Cleveland,28,5,0,0,0,0,0,0,0,0,0,0,0,33,ED,2012
1513,OCR-Metro D.C.,29,11,2,1,1,0,0,0,0,0,0,0,0,44,ED,2012
1514,ODS,2,2,0,0,0,0,0,0,0,0,0,0,1,5,ED,2012
1515,OELA,2,3,0,0,0,0,0,0,0,0,0,0,0,5,ED,2012
1516,OESE,19,21,11,5,2,0,2,0,0,0,0,0,0,60,ED,2012
1517,OGC,0,0,1,1,1,0,0,0,0,0,0,0,0,3,ED,2012
1518,OIG,41,8,1,0,0,0,0,0,0,0,1,0,0,51,ED,2012
1519,OII,13,14,3,0,0,0,0,0,0,0,0,0,0,30,ED,2012
1520,OLCA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ED,2012
1521,OM,15,11,3,0,1,1,0,0,0,0,0,0,0,31,ED,2012
1522,OM-PIRMS,28,5,2,2,2,0,0,0,0,0,1,2,0,42,ED,2012
1523,OPE,34,59,20,3,5,5,0,1,0,0,0,0,0,127,ED,2012
1524,OPEPD,0,0,1,0,0,0,0,0,0,0,0,0,0,1,ED,2012
1525,OS,1,0,2,0,0,1,0,1,0,0,0,0,6,11,ED,2012
1526,OSDFS,3,2,0,0,1,0,0,0,0,0,0,0,0,6,ED,2012
1527,OSERS,6,13,3,0,0,0,0,0,0,0,0,0,0,22,ED,2012
1528,OUS,0,0,5,0,0,0,0,0,0,0,0,0,0,5,ED,2012
1529,OVAE,3,2,0,0,0,0,0,0,0,0,0,0,0,5,ED,2012
1530,Total,897,415,172,65,34,20,12,10,2,5,14,7,17,1670,ED,2012
1531,FSA,15,10,16,12,4,4,5,3,0,0,2,0,0,71,ED,2013
1532,IES,3,0,1,0,0,0,0,0,0,0,0,0,0,4,ED,2013
1533,M,20,3,4,3,2,2,1,0,1,0,0,0,0,36,ED,2013
1534,OCFO-CAM,10,0,1,2,0,0,0,0,0,0,0,0,0,13,ED,2013
1535,OCIO,0,2,0,0,0,0,0,0,0,0,0,0,0,2,ED,2013
1536,OCO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2013
1537,OCR,7,2,7,2,0,0,0,0,0,0,0,0,0,18,ED,2013
1538,OCR-1 Boston,95,3,2,2,0,0,0,0,0,0,0,0,0,102,ED,2013
1539,OCR-2 New York,51,12,17,8,5,0,2,0,0,2,4,3,0,104,ED,2013
1540,OCR-3 Philadelphia,77,1,0,0,0,0,0,0,0,0,0,0,0,78,ED,2013
1541,OCR-4 Atlanta,16,5,1,8,2,2,2,1,1,0,1,0,0,39,ED,2013
1542,OCR-5 Chicago,132,6,0,0,0,0,0,0,0,0,0,0,0,138,ED,2013
1543,OCR-6 Dallas,27,2,1,1,0,0,0,0,0,0,0,0,0,31,ED,2013
1544,OCR-7 Kansas City,6,3,0,4,1,0,0,0,2,1,2,3,1,23,ED,2013
1545,OCR-8 Denver,30,0,1,0,0,0,0,0,0,0,0,0,0,31,ED,2013
1546,OCR-9 San Francisco,41,1,0,0,0,0,0,0,0,0,0,0,0,42,ED,2013
1547,OCR-10 Seattle,18,0,0,0,0,0,0,0,0,0,0,0,0,18,ED,2013
1548,OCR-12 Cleveland,2,1,1,1,0,0,0,0,0,0,0,0,0,5,ED,2013
1549,OCR-Metro D.C.,31,18,4,4,0,0,0,0,0,1,0,0,0,58,ED,2013
1550,ODS,2,0,0,1,0,0,0,0,0,0,0,0,0,3,ED,2013
1551,OESE,23,3,1,3,0,0,0,0,0,0,0,0,0,30,ED,2013
1552,OGC,0,0,1,0,0,0,0,0,0,0,0,0,0,1,ED,2013
1553,OIG,41,5,0,1,0,0,0,0,0,1,1,0,0,49,ED,2013
1554,OII,1,0,1,1,0,0,0,0,0,0,0,0,0,3,ED,2013
1555,OM,4,1,0,0,0,0,0,0,0,1,0,0,0,6,ED,2013
1556,OM-PIRMS,153,6,3,2,1,0,0,0,0,2,1,0,0,168,ED,2013
1557,OPE,15,2,5,0,1,0,0,0,0,0,0,0,0,23,ED,2013
1558,OPEPD,4,0,0,0,0,0,0,0,0,0,0,0,0,4,ED,2013
1559,OS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2013
1560,OSERS,28,5,4,1,0,0,0,0,0,0,0,0,0,38,ED,2013
1561,Total,854,91,71,56,16,8,10,4,4,8,11,6,1,1140,ED,2013
1562,OCTAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2014
1563,OSHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2014
1590,FSA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,ED,2014
1591,IES,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2014
1592,IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2014
1593,M,22,1,0,0,0,0,0,0,0,0,0,0,0,23,ED,2014
1594,OCFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2014
1595,OCFO-CAM,3,0,0,0,0,0,0,0,0,0,0,0,0,3,ED,2014
1596,OCIO,7,0,0,0,0,0,0,0,0,0,0,0,0,7,ED,2014
1597,OCO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2014
1598,OCR,6,1,0,0,0,0,0,0,0,0,0,0,0,7,ED,2014
1599,OCR-1 Boston,65,22,0,0,0,0,0,0,0,0,0,0,0,87,ED,2014
1600,OCR-2 New York,44,23,0,0,0,0,0,0,0,0,0,0,0,67,ED,2014
1601,OCR-3 Philadelphia,76,5,0,0,0,0,0,0,0,0,0,0,0,81,ED,2014
1602,OCR-4 Atlanta,8,6,0,0,0,0,0,0,0,0,0,0,0,14,ED,2014
1603,OCR-5 Chicago,75,13,0,0,0,0,0,0,0,0,0,0,0,88,ED,2014
1604,OCR-6 Dallas,20,6,0,0,0,0,0,0,0,0,0,0,0,26,ED,2014
1605,OCR-7 Kansas City,7,4,0,0,0,0,0,0,0,0,0,0,0,11,ED,2014
1606,OCR-8 Denver,30,2,0,0,0,0,0,0,0,0,0,0,0,32,ED,2014
1607,OCR-9 San Francisco,15,0,0,0,0,0,0,0,0,0,0,0,0,15,ED,2014
1608,OCR-10 Seattle,23,0,0,0,0,0,0,0,0,0,0,0,0,23,ED,2014
1609,OCR-12 Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2014
1610,OCR-Metro D.C.,14,2,0,0,0,0,0,0,2,0,0,0,0,18,ED,2014
1611,ODS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2014
1612,OESE,3,0,0,0,0,0,0,0,0,0,0,0,0,3,ED,2014
1613,OGC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2014
1614,OIG,31,3,0,0,0,0,1,0,0,0,0,0,0,35,ED,2014
1615,OII,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2014
1616,OLCA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,ED,2014
1617,OM,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2014
1618,OM-PIRMS,18,1,0,0,0,0,0,0,0,0,0,0,0,19,ED,2014
1619,OPE,6,0,0,0,0,0,0,0,0,0,0,0,0,6,ED,2014
1620,OPEPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2014
1621,OS,6,0,0,0,0,0,0,0,0,0,0,0,0,6,ED,2014
1622,OSERS,3,0,0,0,0,0,0,0,0,0,0,0,0,3,ED,2014
1623,OUS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2014
1624,Total,499,89,0,0,0,0,1,0,2,0,0,0,0,591,ED,2014
1625,OCTAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2015
1626,OSHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2015
1627,OM-OCPO,194,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2015
1630,OM-OCPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2015
1666,OM-OCPO,0,0,0,0,0,0,0,0,0,0,0,0,0,194,ED,2015
1667,FSA,37,1,0,0,0,0,0,0,0,0,0,0,0,38,ED,2015
1668,IES,20,0,0,0,0,0,0,0,0,0,0,0,0,20,ED,2015
1669,IES-NAGB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2015
1670,M,32,1,0,0,0,0,0,0,0,0,0,0,0,33,ED,2015
1671,OCFO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2015
1672,OCFO-CAM,11,0,0,0,0,0,0,0,0,0,0,0,0,11,ED,2015
1673,OCIO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2015
1674,OCO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2015
1675,OCR,76,0,0,0,0,0,0,0,0,0,0,0,0,76,ED,2015
1676,OCR-1 Boston,31,13,12,1,0,0,0,0,0,0,0,0,0,57,ED,2015
1677,OCR-2 New York,46,13,10,0,1,1,0,1,0,1,0,0,0,73,ED,2015
1678,OCR-3 Philadelphia,79,2,0,0,0,0,0,0,0,0,0,0,0,81,ED,2015
1679,OCR-4 Atlanta,21,5,1,0,0,0,0,0,0,0,0,0,0,27,ED,2015
1680,OCR-5 Chicago,139,1,0,0,0,0,0,0,0,0,0,0,0,140,ED,2015
