,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
235,S&T,20,0,0,0,0,0,0,0,0,0,0,0,0,20,DHS,2013
236,TSA,441,0,0,0,0,0,0,0,0,0,0,0,0,441,DHS,2013
237,USCG,2070,0,0,0,0,0,0,0,0,0,0,0,0,2070,DHS,2013
238,USCIS,11947,8598,732,379,121,63,52,21,16,10,25,3,314,22281,DHS,2013
239,USSS,720,0,0,0,0,0,0,0,0,0,0,0,0,720,DHS,2013
240,Total,31822,18705,12001,7318,3122,3466,1028,1773,1676,656,2777,801,371,85516,DHS,2013
241,CBP,3313,0,0,0,0,0,0,0,0,0,0,0,0,3313,DHS,2014
242,CRCL,33,0,0,0,0,0,0,0,0,0,0,0,0,33,DHS,2014
243,FEMA,21,0,0,0,0,0,0,0,0,0,0,0,0,21,DHS,2014
244,FLETC,69,13,9,6,1,0,1,0,0,0,0,0,0,99,DHS,2014
245,I&A,47,43,14,8,4,1,2,0,0,0,0,0,0,119,DHS,2014
246,ICE,23583,662,561,345,389,477,370,459,381,493,1573,435,26,29754,DHS,2014
247,NPPD,929,660,1294,757,873,2289,3048,1821,304,80,2,0,0,12057,DHS,2014
248,OIG,42,22,8,2,2,3,0,0,0,0,2,0,0,81,DHS,2014
249,OPS,33,0,0,0,0,0,0,0,0,0,0,0,0,33,DHS,2014
250,PRIV,463,0,0,0,0,0,0,0,0,0,0,0,0,463,DHS,2014
251,S&T,57,3,0,0,0,0,0,0,0,0,0,0,0,60,DHS,2014
252,TSA,192,0,0,0,0,0,0,0,0,0,0,0,0,192,DHS,2014
253,USCG,1558,0,0,0,0,0,0,0,0,0,0,0,0,1558,DHS,2014
254,USCIS,14230,10517,2404,249,110,37,27,11,12,6,26,2,0,27631,DHS,2014
255,USSS,273,0,0,0,0,0,0,0,0,0,0,0,0,273,DHS,2014
256,Total,44843,11920,4290,1367,1379,2807,3448,2291,697,579,1603,437,26,75687,DHS,2014
257,CBP,11690,0,0,0,0,0,0,0,0,0,0,0,0,11690,DHS,2015
258,CRCL,13,0,0,0,0,0,0,0,0,0,0,0,0,13,DHS,2015
259,FEMA,18,17,6,7,5,9,5,8,9,7,25,8,41,165,DHS,2015
260,FLETC,64,18,7,0,0,1,0,2,0,2,1,0,0,95,DHS,2015
261,I&A,76,19,4,1,0,0,0,0,0,0,0,0,0,100,DHS,2015
