Agency,Average Number of Days,Component,Highest Number of Days,Lowest Number of Days,Median Number of Days,Year
FLRA,0.0,OGC,0.0,0.0,0.0,2009
FMC,0.0,FMC,0.0,0.0,0.0,2009
FMCS,18.0,FMCS,18.0,5.0,18.0,2009
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2009
FOMC,0.0,FOMC,0.0,0.0,0.0,2009
FRB,19.0,FRB,33.0,3.0,19.0,2009
FTC,20.71,FTC,48.0,9.0,20.5,2009
GSA,33.0,GSA,89.0,15.0,30.0,2009
HHS,1054.0,CMS,3505.0,54.0,329.0,2009
HHS,309.0,OS,973.0,1.0,231.0,2009
HUD,0.0,Agency,0.0,0.0,0.0,2009
IAF,0.0,IAF,0.0,0.0,0.0,2009
IMLS,0.0,IMLS,0.0,0.0,0.0,2009
MSPB,14.0,MSPB,19.0,2.0,14.0,2009
NARA,18.0,NARA,1404.0,3.0,586.0,2009
NASA,114.0,OGC,208.0,1.0,135.0,2009
NCUA,30.7,NCUA,110.0,16.0,21.5,2009
NEH,206.0,NEH,572.0,21.0,24.0,2009
NIGC,15.3,NIGC,20.0,11.0,15.0,2009
NMB,0.0,NMB,0.0,0.0,0.0,2009
NRPC,0.0,NRPC,0.0,0.0,0.0,2009
NSF,13.0,Foundation,20.0,1.0,20.0,2009
NSF,15.0,OIG,17.0,13.0,13.0,2009
OGE,0.0,OGE,0.0,0.0,0.0,2009
OMB,45.0,OMB,70.0,19.0,44.0,2009
ONDCP,0.0,OLC,0.0,0.0,0.0,2009
OPIC,16.5,OPIC,22.0,11.0,16.5,2009
OPM,43.0,OPM,100.0,7.0,25.0,2009
OSHRC,0.0,OSHRC,0.0,0.0,0.0,2009
OSTP,18.3,OSTP,28.0,8.0,19.0,2009
PC,28.0,FOIA Office,59.0,11.0,21.0,2009
PC,0.0,OIG,0.0,0.0,0.0,2009
PRC,0.0,PRC,0.0,0.0,0.0,2009
SBA,15.3,SBA,30.0,1.0,16.0,2009
SEC,33.0,HQ,315.0,1.0,12.0,2009
SIGIR,22.0,SIGIR,25.0,19.0,22.0,2009
SSA,82.0,SSA,279.0,6.0,67.0,2009
SSS,0.0,SSS,0.0,0.0,0.0,2009
State,460.0,DoS,2049.0,,453.0,2009
STB,15.0,STB,15.0,15.0,15.0,2009
Treasury,18.25,BEP,20.0,9.0,20.0,2009
Treasury,11.0,BPD,11.0,8.0,10.0,2009
Treasury,63.0,DO,167.0,20.0,39.0,2009
Treasury,7.0,FinCEN,9.0,6.0,6.5,2009
Treasury,13.0,FMS,20.0,7.0,14.0,2009
Treasury,69.5,IRS,181.0,8.0,64.0,2009
Treasury,10.0,MINT,19.0,2.0,9.0,2009
Treasury,4.5,OCC,36.0,,,2009
Treasury,25.0,OTS,47.0,7.0,22.0,2009
Treasury,32.0,TIGTA,335.0,1.0,13.0,2009
Treasury,71.89,TTB,260.0,1.0,130.0,2009
TVA,20.5,TVA,28.0,14.0,20.0,2009
U.S. CPSC,18.0,U.S. CPSC,20.0,6.0,15.0,2009
U.S. DOL,236.0,DOL,1575.0,0.0,89.5,2009
US RRB,0.0,OIG,0.0,0.0,0.0,2009
US RRB,21.67,RRB,28.0,18.0,21.0,2009
USITC,0.0,USITC,0.0,0.0,0.0,2009
USNRC,23.0,USNRC,50.0,2.0,20.0,2009
VA,53.0,GC,159.0,2.0,56.0,2009
ABMC,0.0,ABMC,0.0,0.0,0.0,2010
ACUS,0.0,ACUS,0.0,0.0,0.0,2010
BBG,20.0,BBG,20.0,20.0,20.0,2010
CEQ,28.0,CEQ,28.0,28.0,28.0,2010
CFTC,46.0,CFTC,115.0,17.0,17.0,2010
CIA,145.0,CIA,1246.0,0.0,121.0,2010
CIGIE,0.0,CIGIE,0.0,0.0,0.0,2010
CNCS,25.6,CNCS,82.0,8.0,14.0,2010
CO,0.0,CO,0.0,0.0,0.0,2010
CPPBSD,0.0,CPPBSD,0.0,0.0,0.0,2010
CSB,0.0,CSB,0.0,0.0,0.0,2010
CSOSA,0.0,HQ,0.0,0.0,0.0,2010
DHS,128.0,CBP,735.0,1.0,101.0,2010
DHS,19.0,FLETC,19.0,19.0,19.0,2010
DHS,489.0,ICE,1416.0,1.0,483.0,2010
DHS,627.0,OGC,1979.0,1.0,627.0,2010
DHS,50.4,TSA,217.0,6.0,18.5,2010
DHS,268.5,USCG,685.0,34.0,285.0,2010
DHS,248.0,USCIS,1636.0,1.0,134.0,2010
DHS,83.0,USSS,683.0,3.0,32.0,2010
DNFSB,11.0,OGC,11.0,11.0,11.0,2010
DNFSB,0.0,OGM,0.0,0.0,0.0,2010
DOC,19.0,PTO,31.0,13.0,20.0,2010
DOC,302.0,AGC/Admin.,1486.0,1.0,120.0,2010
DoD,62.0,AF,388.0,1.0,39.0,2010
DoD,95.0,ARMY,580.0,1.0,45.0,2010
DoD,7.0,DCAA,10.0,4.0,6.0,2010
DoD,52.0,DCMA,137.0,4.0,16.0,2010
DoD,27.0,DFAS,32.0,19.0,30.0,2010
DoD,900.0,DIA,2896.0,2.0,779.0,2010
