Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2009,FERC,FERC,0,1,1,0
2009,FFIEC,FFIEC,0,0,0,0
2009,FHFA,FHFA,0,0,0,0
2009,FLRA,FLRA,0,0,0,0
2009,FMCS,FMCS,0,0,0,0
2009,FMSHRC,FMSHRC,0,0,0,0
2009,FOMC,FOMC,0,0,0,0
2009,FRB,FRB,0,1,1,0
2009,FTC,FTC,0,0,0,0
2009,HHS,ACF,0,0,0,0
2009,HHS,AOA,0,0,0,0
2009,HHS,CMS,0,0,0,0
2009,HHS,OIG,0,0,0,0
2009,HHS,OPHS,0,0,0,0
2009,HHS,AHRQ,0,1,1,0
2009,HHS,CDC,0,0,0,0
2009,HHS,FDA,0,13,13,0
2009,HHS,HRSA,0,0,0,0
2009,HHS,IHS,0,0,0,0
2009,HHS,NIH,0,1,0,1
2009,HHS,SAMHSA,0,0,0,0
2009,HHS,OS,0,0,0,0
2009,HUD,FO,0,0,0,0
2009,HUD,HQ,0,1,1,0
2009,HUD,IG,0,1,1,0
2009,IAF,IAF,0,0,0,0
2009,IMLS,IMLS,0,0,0,0
2009,MSPB,MSPB,0,0,0,0
2009,NARA,NARA,0,0,0,0
2009,NASA,HQS,0,23,0,23
2009,NCUA,NCUA,0,0,0,0
2009,NEH,NEH,0,0,0,0
2009,NIGC,NIGC,0,0,0,0
2009,NMB,NMB,0,0,0,0
2009,NRPC,NRPC,0,0,0,0
2009,NSF,Foundation,0,0,0,0
2009,NSF,OIG,0,0,0,0
2009,OGE,OGE,0,0,0,0
2009,OMB,OMB,0,27,24,3
2009,ONDCP,OLC,0,0,0,0
2009,OPIC,OPIC,0,3,3,0
2009,OPM,OPM,1,1,2,0
2009,OSHRC,OSHRC,0,0,0,0
2009,OSTP,OSTP,1,5,6,0
2009,PRC,PRC,0,0,0,0
2009,SBA,SBA,0,0,0,0
2009,SEC,HQ,0,0,0,0
2009,SIGIR,SIGIR,0,0,0,0
2009,SSA,SSA,0,0,0,0
2009,SSS,SSS,0,0,0,0
2009,State,DoS,773,6014,2336,4451
2009,State,OIG,0,0,0,0
2009,STB,STB,0,0,0,0
2009,Treasury,BEP,0,0,0,0
2009,Treasury,BPD,0,0,0,0
2009,Treasury,DO,0,19,13,6
2009,Treasury,FinCEN,0,3,3,0
2009,Treasury,FMS,1,24,24,1
2009,Treasury,IRS,0,47,47,0
2009,Treasury,MINT,0,0,0,0
2009,Treasury,OCC,0,0,0,0
2009,Treasury,OTS,0,0,0,0
2009,Treasury,TIGTA,1,2,2,1
2009,Treasury,TTB,0,0,0,0
2009,TVA,TVA,0,0,0,0
2009,U.S. CPSC,U.S. CPSC,0,0,0,0
2009,U.S. DOL,ADJ BDS,0,0,0,0
2009,U.S. DOL,ALJ,0,0,0,0
2009,U.S. DOL,ASP,0,0,0,0
2009,U.S. DOL,BLS,0,0,0,0
2009,U.S. DOL,CFO,0,0,0,0
2009,U.S. DOL,EBSA,0,7,5,2
2009,U.S. DOL,ESA - OFCCP,0,2,2,0
2009,U.S. DOL,ESA - OLMS,0,12,10,2
2009,U.S. DOL,ESA - OMAP,0,0,0,0
2009,U.S. DOL,ESA - OWCP,0,0,0,0
2009,U.S. DOL,ESA - WHD,0,10,10,0
2009,U.S. DOL,ETA,0,7,6,1
2009,U.S. DOL,ILAB,0,0,0,0
2009,U.S. DOL,JOB CORP,0,0,0,0
2009,U.S. DOL,MSHA,0,0,0,0
2009,U.S. DOL,OASAM,0,0,0,0
2009,U.S. DOL,OCIA,0,0,0,0
2009,U.S. DOL,ODEP,0,0,0,0
2009,U.S. DOL,OIG,0,2,2,0
2009,U.S. DOL,OPA,0,0,0,0
2009,U.S. DOL,OSBP,0,0,0,0
2009,U.S. DOL,OSHA,0,23,23,0
2009,U.S. DOL,SOL,0,5,4,1
2009,U.S. DOL,VETS,0,0,0,0
2009,U.S. DOL,WB,0,0,0,0
2009,US RRB,OIG,0,0,0,0
2009,US RRB,RRB,0,0,0,0
2009,USITC,USITC,0,0,0,0
2009,USNRC,USNRC,0,3,3,0
2009,VA,Admin,0,0,0,0
2009,VA,BVA,0,0,0,0
2009,VA,C&LA,0,1,0,1
2009,VA,CFM,0,0,0,0
2009,VA,GC,0,1,1,0
2009,VA,HRM,0,0,0,0
2009,VA,IG,0,0,0,0
2009,VA,Mgmt,0,0,0,0
2009,VA,NCA,0,0,0,0
2009,VA,OAL,0,0,0,0
2009,VA,OASP&IA,0,0,0,0
2009,VA,ODASB,0,0,0,0
2009,VA,ODASIA,0,0,0,0
2009,VA,ODI,0,0,0,0
2009,VA,OF,0,0,0,0
2009,VA,OI&T,0,0,0,0
2009,VA,ORM,0,0,0,0
2009,VA,OSDBU,0,0,0,0
2009,VA,OSP,0,3,3,0
2009,VA,P&P,0,0,0,0
2009,VA,PA,0,0,0,0
2009,VA,SEC,0,0,0,0
2009,VA,VBA,0,2,0,2
2009,VA,VCS,0,0,0,0
2009,VA,VHA,0,2,1,1
2010,ABMC,ABMC,0,0,0,0
2010,ACUS,ACUS,0,0,0,0
2010,BBG,BBG,0,0,0,0
2010,CEQ,CEQ,0,6,3,3
2010,CFTC,CFTC,0,0,0,0
2010,CIA,CIA,199,1109,1048,260
2010,CIGIE,CIGIE,0,0,0,0
2010,CNCS,CNCS,0,5,5,0
2010,CO,CO,0,1,1,0
2010,CPPBSD,CPPBSD,0,0,0,0
2010,CSB,CSB,0,0,0,0
2010,CSOSA,HQ,0,0,0,0
2010,DHS,CBP,0,35,31,4
2010,DHS,CRCL,0,5,5,0
2010,DHS,FEMA,17,24,25,16
2010,DHS,FLETC,0,3,3,0
2010,DHS,I&A,5,12,15,2
2010,DHS,ICE,0,171,171,0
2010,DHS,MGMT,4,5,8,1
2010,DHS,NPPD,0,29,29,0
2010,DHS,OGC,0,1,1,0
2010,DHS,OIG,0,3,3,0
2010,DHS,OPS,0,5,5,0
2010,DHS,PLCY,6,14,20,0
2010,DHS,PRIV,3,18,21,0
2010,DHS,S&T,1,21,21,1
2010,DHS,TSA,5,36,20,21
2010,DHS,US-VISIT,0,12,12,0
2010,DHS,USCG,4,33,24,13
2010,DHS,USCIS,9,88,96,1
2010,DHS,USSS,0,14,7,7
2010,DNFSB,OGC,0,0,0,0
2010,DNFSB,OGM,0,1,1,0
2010,DOC,BIS,2,17,19,0
2010,DOC,Census,0,1,1,0
2010,DOC,EDA,0,0,0,0
2010,DOC,ESA,0,1,1,0
2010,DOC,ITA,11,5,16,0
2010,DOC,MBDA,0,0,0,0
2010,DOC,NIST,0,5,5,0
2010,DOC,NOAA,0,0,0,0
2010,DOC,NTIA,0,2,2,0
2010,DOC,NTIS,0,0,0,0
2010,DOC,OIG,0,5,3,2
2010,DOC,OS,0,1,0,1
2010,DOC,PTO,0,0,0,0
2010,DoD,AF,25,113,106,32
2010,DoD,AFRICOM,0,0,0,0
2010,DoD,ARMY,40,201,225,16
2010,DoD,ASBCA,0,0,0,0
2010,DoD,CENTCOM,50,71,87,34
2010,DoD,DCAA,0,1,1,0
2010,DoD,DCMA,0,0,0,0
2010,DoD,DeCA,0,0,0,0
2010,DoD,DFAS,0,1,0,1
2010,DoD,DIA,297,136,106,327
2010,DoD,DISA,6,3,8,1
2010,DoD,DLA,0,10,10,0
2010,DoD,DoDEA,0,0,0,0
2010,DoD,DoDIG,2,14,15,1
2010,DoD,DSS,0,0,0,0
2010,DoD,DTIC,0,0,0,0
2010,DoD,DTRA,2,8,10,0
2010,DoD,EUCOM,9,1,8,2
2010,DoD,JFCOM,20,18,34,4
2010,DoD,NAVY,100,387,400,87
2010,DoD,NGA,4,35,0,39
2010,DoD,NGB,0,0,0,0
2010,DoD,NORTHCOM,0,0,0,0
2010,DoD,NRO,3,31,26,8
2010,DoD,NSA,31,184,161,54
2010,DoD,OSD/JS,309,191,132,368
2010,DoD,PACOM,11,15,22,4
2010,DoD,SOCOM,35,48,63,20
2010,DoD,SOUTHCOM,1,39,24,16
2010,DoD,STRATCOM,0,7,6,1
2010,DoD,TRANSCOM,24,8,20,12
2010,DoD,TRICARE,0,6,5,1
2010,DOE,BPA,0,1,1,0
2010,DOE,CBFO,0,0,0,0
2010,DOE,CH,0,0,0,0
2010,DOE,EMCBC,0,0,0,0
2010,DOE,GFO,0,0,0,0
2010,DOE,HQ,86,152,158,80
2010,DOE,ID,0,0,0,0
2010,DOE,NETL,0,0,0,0
2010,DOE,NNSA,0,0,0,0
2010,DOE,NR,0,0,0,0
2010,DOE,NRLFO,0,0,0,0
2010,DOE,ORO,0,75,75,0
2010,DOE,OSTI,0,0,0,0
2010,DOE,ROO,0,0,0,0
2010,DOE,SEPA,0,0,0,0
2010,DOE,SPR,0,0,0,0
2010,DOE,SRO,0,9,9,0
