Year,Agency,Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
2014,HHS,IHS,28,152,160,20
2014,HHS,NIH,71,1169,1156,84
2014,HHS,SAMHSA,96,193,238,51
2014,HHS,OS,388,1531,1605,314
2014,HHS,OASH,138,437,455,120
2014,HHS,ACL,0,13,11,2
2014,HUD,HQ,130,1039,881,288
2014,HUD,OIG,3,139,135,7
2014,HUD,R01,3,65,64,4
2014,HUD,R02,11,90,97,4
2014,HUD,R03,12,167,174,5
2014,HUD,R04,23,240,242,21
2014,HUD,R05,18,119,120,17
2014,HUD,R06,11,115,121,5
2014,HUD,R07,2,34,35,1
2014,HUD,R08,22,97,111,8
2014,HUD,R09,28,192,178,42
2014,HUD,R0X,3,70,66,7
2014,IAF,IAF,0,8,8,0
2014,IMLS,IMLS,2,51,51,2
2014,LSC,OLA,0,42,42,0
2014,LSC,OIG,0,12,12,0
2014,MCC,MCC,4,33,14,23
2014,MSPB,MSPB,12,221,212,21
2014,NARA,NARA,6600,22237,19476,9361
2014,NASA,AFRC,1,16,17,0
2014,NASA,ARC,8,43,45,6
2014,NASA,GRC,2,16,18,0
2014,NASA,GSFC,12,119,125,6
2014,NASA,HQ,6,177,175,8
2014,NASA,JPL,0,40,40,0
2014,NASA,JSC,13,131,140,4
2014,NASA,KSC,7,102,86,23
2014,NASA,LaRC,1,23,23,1
2014,NASA,MSFC,2,62,62,2
2014,NASA,NSSC,2,17,14,5
2014,NASA,OGC,0,0,0,0
2014,NASA,OIG,0,32,32,0
2014,NASA,SSC,0,14,13,1
2014,NCPC,NCPC,0,14,14,0
2014,NCUA,NCUA,2,108,108,2
2014,NEA,NEA,6,71,73,4
2014,NEH,NEH,1,49,47,3
2014,NIGC,NIGC,33,52,75,10
2014,NLRB,NLRB,101,4470,4426,145
2014,NMB,NMB,0,38,38,0
2014,NRPC,NRPC,25,200,200,25
2014,NSF,OGC,143,315,281,177
2014,NSF,OIG,5,23,25,3
2014,NTSB,NTSB,342,589,409,522
2014,ODNI,ODNI,155,467,394,228
2014,OGE,OGE,5,28,30,3
2014,OMB,OMB,61,152,180,33
2014,ONDCP,ONDCP,6,62,61,7
2014,ONHIR,ONHIR,0,163,163,0
2014,OPIC,OPIC,2,49,46,5
2014,OPM,OPM,838,8302,8463,677
2014,OSC,OSC,132,168,91,209
2014,OSHRC,OSHRC,3,61,62,2
2014,OSTP,OSTP,1,93,89,5
2014,PBGC,PBGC,75,2094,2083,86
2014,PC,FOIA Office,36,272,176,132
2014,PC,OIG,0,19,18,1
2014,PCLOB,PCLOB,0,7,6,1
2014,PRC,PRC,0,31,31,0
2014,RATB,RATB,0,22,21,1
2014,SBA,SBA,30,1306,1312,24
2014,SEC,SEC,490,14862,14757,595
2014,SIGAR,SIGAR,1,33,32,2
2014,SSA,SSA,294,26899,24689,2504
2014,SSS,SSS,0,49,49,0
2014,State,DoS,9363,19625,18023,10965
2014,State,OIG,9,71,71,9
2014,STB,STB,2,34,36,0
2014,Treasury,BEP,4,88,83,9
2014,Treasury,DO,504,732,946,290
2014,Treasury,FinCEN,1,284,277,8
2014,Treasury,IRS,759,10454,10109,1104
2014,Treasury,MINT,12,119,131,0
2014,Treasury,OCC,73,1806,1801,78
2014,Treasury,TIGTA,26,282,287,21
2014,Treasury,TTB,1,50,50,1
2014,Treasury,Fiscal Service,22,292,306,8
2014,TVA,TVA,26,165,175,16
2014,U.S. CPSC,U.S. CPSC,247,1240,1249,238
2014,U.S. DOL,ADJ BDS,0,47,46,1
2014,U.S. DOL,ALJ,1,152,149,4
2014,U.S. DOL,ASP,11,4,11,4
2014,U.S. DOL,BLS,1,27,26,2
2014,U.S. DOL,CFO,1,23,23,1
2014,U.S. DOL,EBSA,96,450,472,74
2014,U.S. DOL,ETA,166,1545,1639,72
2014,U.S. DOL,EXEC SEC,0,1,1,0
2014,U.S. DOL,ILAB,3,4,5,2
2014,U.S. DOL,MSHA,92,1565,1545,112
2014,U.S. DOL,OASAM,43,211,226,28
2014,U.S. DOL,OCIA,10,23,30,3
2014,U.S. DOL,ODEP,1,5,6,0
2014,U.S. DOL,OFCCP,24,188,188,24
2014,U.S. DOL,OIG,18,71,72,17
2014,U.S. DOL,OLMS,8,84,83,9
2014,U.S. DOL,OPA,6,5,7,4
2014,U.S. DOL,OSEC,6,25,26,5
2014,U.S. DOL,OSHA,539,8330,8520,349
2014,U.S. DOL,OWCP,163,374,495,42
2014,U.S. DOL,SOL,24,95,101,18
2014,U.S. DOL,VETS,28,138,153,13
2014,U.S. DOL,WB,0,7,6,1
2014,U.S. DOL,WHD,555,2732,2885,402
2014,US ADF,US ADF,0,14,14,0
2014,US RRB,OIG,3,9,3,9
2014,US RRB,RRB,0,146,146,0
2014,USAID,USAID,237,373,315,295
2014,USCCR,USCCR,0,44,43,1
2014,USDA,AMS,34,161,163,32
2014,USDA,APHIS,337,993,798,532
2014,USDA,ASCR,1,19,18,2
2014,USDA,FAS,1,49,49,1
2014,USDA,FNCS,25,334,309,50
2014,USDA,FS,493,1939,1889,543
2014,USDA,FSA,982,14814,14343,1453
2014,USDA,FSIS,128,419,365,182
2014,USDA,GIPSA,2,36,37,1
2014,USDA,NAD,2,4,0,6
2014,USDA,NRCS,162,300,388,74
2014,USDA,OBPA,3,5,8,0
2014,USDA,OCFO,11,20,16,15
2014,USDA,OGC,15,29,27,17
2014,USDA,OIG,73,137,115,95
2014,USDA,OSEC/OCIO/DM,95,181,251,25
2014,USDA,RD,470,248,301,417
2014,USDA,REE,4,115,115,4
2014,USDA,RMA,11,61,51,21
2014,USIBWC,USIBWC,2,34,33,3
2014,USITC,USITC,1,39,39,1
2014,USNRC,USNRC,97,508,485,120
2014,USPS,PS,158,1673,1611,220
2014,USPS,OIG,21,496,507,10
2014,USPS,PIS,17,378,371,24
2014,USTDA,USTDA,2,32,24,10
2014,USTR,USTR,28,66,71,23
2014,VA,Admin,3,24,20,7
2014,VA,BVA,2,16,16,2
2014,VA,C&LA,2,34,33,3
2014,VA,CFM,71,75,75,71
2014,VA,GC,17,117,114,20
2014,VA,HRM,18,12,23,7
2014,VA,IG,16,369,360,25
2014,VA,Mgmt,3,18,16,5
2014,VA,NCA,7,62,39,30
2014,VA,OAL,14,267,242,39
2014,VA,OASHRA,5,10,5,10
2014,VA,OASP&IA,9,16,8,17
2014,VA,ODASB,2,1,3,0
2014,VA,ODASIA,33,5,35,3
2014,VA,ODI,0,2,1,1
2014,VA,OF,0,21,20,1
2014,VA,OIT,34,259,255,38
2014,VA,ORM,2,29,30,1
2014,VA,OSDBU,3,19,18,4
2014,VA,OSP,0,5,5,0
2014,VA,P&P,1,2,2,1
2014,VA,PA,3,9,4,8
2014,VA,SEC,39,84,89,34
2014,VA,VBA,1085,2107,2655,537
2014,VA,VHA,1047,24446,23914,1579
2015,ABMC,ABMC,0,5,5,0
2015,ACUS,ACUS,0,26,26,0
2015,AFRH,AFRH,0,13,13,0
2015,BBG,BBG,10,45,48,7
2015,CEQ,CEQ,48,83,75,56
2015,CFPB,CFPB,17,318,319,16
2015,CFTC,CFTC,35,228,204,59
2015,CIA,CIA,1034,3618,3181,1471
2015,CIGIE,CIGIE,6,15,15,6
2015,CNCS,CNCS,8,47,48,7
2015,CO,CO,3,36,34,5
2015,CPPBSD,CPPBSD,0,6,5,1
2015,CSB,CSB,9,45,30,24
2015,CSOSA,CSOSA,58,532,525,65
2015,DHS,CBP,38122,52290,77746,12666
2015,DHS,CRCL,9,40,30,19
2015,DHS,FEMA,824,758,717,865
2015,DHS,FLETC,7,122,100,29
2015,DHS,I&A,22,238,217,43
2015,DHS,ICE,57671,44748,101578,841
2015,DHS,NPPD,4490,13781,12232,6039
2015,DHS,OIG,62,261,223,100
2015,DHS,PRIV,125,649,697,77
2015,DHS,S&T,1,38,33,6
2015,DHS,TSA,974,554,563,965
2015,DHS,USCG,1444,3176,2517,2103
2015,DHS,USCIS,12525,162986,150897,24614
2015,DHS,USSS,758,1497,1328,927
2015,DNFSB,DNFSB,3,19,20,2
2015,DOC,BIS,13,100,98,15
2015,DOC,Census,24,543,539,28
2015,DOC,EDA,6,42,41,7
2015,DOC,ESA,0,11,10,1
2015,DOC,ITA,75,69,7,137
2015,DOC,MBDA,0,6,5,1
2015,DOC,NIST,34,114,107,41
2015,DOC,NOAA,172,473,498,147
2015,DOC,NTIA,12,76,69,19
2015,DOC,NTIS,3,15,13,5
2015,DOC,OIG,14,170,169,15
2015,DOC,OS,115,235,251,99
2015,DOC,PTO,22,376,356,42
2015,DoD,AF,1145,6036,6191,990
2015,DoD,AFRICOM,68,124,59,133
2015,DoD,ARMY,2400,29616,29300,2716
2015,DoD,ASBCA,1,19,20,0
2015,DoD,CENTCOM,166,272,200,238
2015,DoD,DCAA,2,101,100,3
2015,DoD,DCMA,38,201,176,63
2015,DoD,DeCA,2,183,183,2
2015,DoD,DFAS,7,225,217,15
2015,DoD,DHA,42,123,111,54
2015,DoD,DIA,732,847,684,895
2015,DoD,DISA,33,274,237,70
2015,DoD,DLA,122,3811,3813,120
2015,DoD,DoD IG,578,952,808,722
2015,DoD,DoDEA,4,62,64,2
2015,DoD,DSS,0,67,67,0
2015,DoD,DTIC,0,223,221,2
2015,DoD,DTRA,39,110,96,53
2015,DoD,EUCOM,34,85,74,45
2015,DoD,JPRA,0,8,8,0
2015,DoD,NAVY,2751,9331,9327,2755
2015,DoD,NGA,108,94,141,61
2015,DoD,NGB,78,118,111,85
2015,DoD,NORTHCOM,12,146,125,33
2015,DoD,NRO,78,164,196,46
2015,DoD,NSA,1328,1767,1529,1566
2015,DoD,OSD/JS,1330,1802,1666,1466
2015,DoD,PACOM,41,97,134,4
2015,DoD,SOCOM,291,285,253,323
2015,DoD,SOUTHCOM,173,198,185,186
2015,DoD,STRATCOM,33,66,86,13
2015,DoD,TRANSCOM,68,91,125,34
2015,DOE,BPA,55,105,134,26
2015,DOE,CBFO,0,21,14,7
2015,DOE,CH,3,80,79,4
2015,DOE,EMCBC,22,77,86,13
2015,DOE,GFO,4,111,107,8
2015,DOE,HQ,190,1075,1108,157
2015,DOE,ID,1,48,46,3
2015,DOE,NETL,2,25,24,3
2015,DOE,NNSA,226,302,340,188
2015,DOE,NR,0,0,0,0
2015,DOE,NRLFO,0,2,2,0
2015,DOE,ORO,4,209,207,6
2015,DOE,OSTI,6,40,41,5
2015,DOE,ROO,3,98,98,3
2015,DOE,SEPA,0,24,24,0
2015,DOE,SPR,1,18,18,1
2015,DOE,SRO,0,49,45,4
2015,DOE,SWPA,2,22,22,2
2015,DOE,WAPA,2,50,50,2
2015,DOI,BIA,140,1869,1817,192
2015,DOI,BLM,141,835,796,180
2015,DOI,BOEM,19,171,165,25
2015,DOI,BOR,13,350,345,18
2015,DOI,BSEE,31,254,244,41
2015,DOI,FWS,283,1294,1332,245
2015,DOI,NPS,182,804,843,143
2015,DOI,OIG,23,212,215,20
2015,DOI,OS,66,571,547,90
2015,DOI,OSM,18,117,116,19
2015,DOI,SOL,50,102,118,34
2015,DOI,USGS,35,213,219,29
2015,DOJ,Office of the AG,282,311,254,339
2015,DOJ,Office of the DAG,179,206,141,244
2015,DOJ,Office of the Assoc. AG,46,112,102,56
2015,DOJ,Antitrust,57,121,134,44
2015,DOJ,ATF,1433,1465,1146,1752
2015,DOJ,BOP,1186,8004,8128,1062
2015,DOJ,Civil,38,306,310,34
2015,DOJ,Civil Rights,150,605,562,193
2015,DOJ,COPS,0,88,85,3
2015,DOJ,Criminal,224,796,834,186
2015,DOJ,CRS,2,19,19,2
2015,DOJ,DEA,343,1675,1677,341
2015,DOJ,ENRD,6,106,104,8
2015,DOJ,EOIR,2793,31513,31764,2542
2015,DOJ,EOUSA,2306,3821,3874,2253
2015,DOJ,EOUST,13,96,102,7
2015,DOJ,FBI,3632,12931,13405,3158
2015,DOJ,FCSC,1,39,40,0
2015,DOJ,JMD,24,116,88,52
2015,DOJ,NSD,101,198,175,124
2015,DOJ,OCDETF,3,62,57,8
2015,DOJ,OIG,77,330,347,60
2015,DOJ,OIP,72,852,812,112
2015,DOJ,OJP,89,413,356,146
2015,DOJ,OLA,81,134,92,123
2015,DOJ,OLC,42,111,97,56
2015,DOJ,OLP,9,83,77,15
2015,DOJ,OPR,10,115,120,5
2015,DOJ,OSG,23,107,92,38
2015,DOJ,OVW,17,104,114,7
2015,DOJ,Pardon Attorney,37,91,97,31
2015,DOJ,Public Affairs,36,64,50,50
2015,DOJ,PRAO,1,31,31,1
2015,DOJ,TAX,10,136,127,19
2015,DOJ,USMS,230,1996,1766,460
2015,DOJ,USNCB,1,207,201,7
2015,DOJ,USPC,48,419,445,22
2015,DOT,FAA,1245,9636,9088,1793
2015,DOT,FHWA,24,361,368,17
2015,DOT,FMCSA,761,1510,1538,733
2015,DOT,FRA,118,535,355,298
2015,DOT,FTA,11,281,273,19
2015,DOT,MARAD,36,105,124,17
2015,DOT,NHTSA,77,262,249,90
2015,DOT,OIG,30,103,119,14
2015,DOT,OST,103,366,378,91
2015,DOT,PHMSA,82,187,159,110
2015,DOT,RITA,2,0,2,0
2015,DOT,SLSDC,0,28,28,0
2015,ED,OCTAE,0,1,1,0
2015,ED,OSHS,0,0,0,0
2015,ED,OM-OCPO,6,220,201,25
2015,ED,FSA,24,215,190,49
2015,ED,IES,8,32,39,1
2015,ED,IES-NAGB,0,2,2,0
2015,ED,M,55,182,191,46
2015,ED,OCFO,1,5,6,0
2015,ED,OCFO-CAM,7,40,45,2
2015,ED,OCIO,0,4,4,0
2015,ED,OCO,1,2,3,0
2015,ED,OCR,24,160,164,20
2015,ED,OCR-1 Boston,9,82,77,14
2015,ED,OCR-2 New York,75,143,172,46
2015,ED,OCR-3 Philadelphia,5,83,86,2
2015,ED,OCR-4 Atlanta,16,65,59,22
2015,ED,OCR-5 Chicago,7,144,144,7
2015,ED,OCR-6 Dallas,6,105,96,15
2015,ED,OCR-7 Kansas City,16,37,42,11
2015,ED,OCR-8 Denver,2,46,44,4
2015,ED,OCR-9 San Francisco,3,66,68,1
2015,ED,OCR-10 Seattle,1,75,72,4
2015,ED,OCR-12 Cleveland,7,30,32,5
2015,ED,OCR-Metro D.C.,39,80,108,11
2015,ED,ODS,4,3,7,0
2015,ED,OESE,5,69,71,3
2015,ED,OGC,2,5,2,5
2015,ED,OIG,4,59,61,2
2015,ED,OII,3,59,59,3
2015,ED,OLCA,1,2,3,0
2015,ED,OM,7,44,46,5
2015,ED,OPE,13,161,157,17
2015,ED,OPEPD,2,5,4,3
2015,ED,OS,31,20,11,40
2015,ED,OSERS,3,49,46,6
2015,ED,OUS,1,2,2,1
2015,EEOC,ATLANTA,25,1442,1432,35
2015,EEOC,BIRMINGHAM,81,1088,998,171
2015,EEOC,CHARLOTTE,76,900,925,51
2015,EEOC,CHICAGO,29,779,768,40
2015,EEOC,DALLAS,148,1575,1514,209
2015,EEOC,HOUSTON,54,927,839,142
2015,EEOC,INDIANAPOLIS,43,1820,1778,85
2015,EEOC,LOS ANGELES,1,1279,1276,4
2015,EEOC,MEMPHIS,45,691,698,38
2015,EEOC,MIAMI,96,1715,1688,123
2015,EEOC,NEW YORK,98,876,898,76
2015,EEOC,OLC/HDQ,47,620,594,73
2015,EEOC,PHILADELPHIA,103,1527,1358,272
2015,EEOC,PHOENIX,64,629,581,112
2015,EEOC,SAN FRANCISCO,143,716,823,36
2015,EEOC,ST. LOUIS,79,1067,1074,72
2015,EEOC,WFO,28,232,237,23
2015,EPA,HQ,942,1955,1912,985
2015,EPA,Region 1,21,293,288,26
2015,EPA,Region 2,397,2227,2274,350
2015,EPA,Region 3,510,951,1278,183
2015,EPA,Region 4,88,889,842,135
2015,EPA,Region 5,119,1798,1780,137
2015,EPA,Region 6,97,686,699,84
2015,EPA,Region 7,46,472,489,29
2015,EPA,Region 8,55,307,310,52
2015,EPA,Region 9,62,876,862,76
2015,EPA,Region 10,171,456,544,83
2015,Ex-Im Bank,OIG,0,6,6,0
2015,Ex-Im Bank,HQ,38,94,95,37
2015,FCA,FCA,1,41,42,0
2015,FCC,FCC,67,785,745,107
2015,FCSIC,FCSIC,0,11,11,0
2015,FDIC,FDIC,16,630,606,40
2015,FEC,FEC,33,91,81,43
2015,FERC,FERC,23,131,133,21
2015,FFIEC,FFIEC,0,23,23,0
2015,FHFA,FHFA-HQ,10,78,75,13
2015,FHFA,FHFA-OIG,4,91,86,9
2015,FLRA,FSIP,0,0,0,0
2015,FLRA,Authority,1,60,60,1
2015,FLRA,IG,0,3,3,0
2015,FLRA,OGC,0,0,0,0
2015,FLRA,ATRO,0,6,6,0
2015,FLRA,BORO,1,5,6,0
2015,FLRA,CHRO,0,0,0,0
2015,FLRA,DARO,0,7,6,1
2015,FLRA,DERO,0,0,0,0
2015,FLRA,SFRO,0,2,2,0
2015,FLRA,WARO,0,2,2,0
2015,FMC,FMC,16,35,39,12
2015,FMCS,FMCS,6,55,57,4
2015,FMSHRC,FMSHRC,1,140,140,1
2015,FOMC,FOMC,8,34,41,1
2015,FRB,FRB,34,778,770,42
2015,FRTIB,FRTIB,2,14,12,4
2015,FTC,FTC,26,1531,1531,26
2015,GSA,GSA,174,934,973,135
2015,HHS,ACF,772,850,1100,522
2015,HHS,CMS,4717,26566,28153,3130
2015,HHS,OIG,34,1276,1304,6
2015,HHS,CDC,685,1020,943,762
2015,HHS,FDA,2896,9958,10145,2709
2015,HHS,HRSA,92,379,419,52
2015,HHS,IHS,20,149,130,39
2015,HHS,NIH,84,1273,1268,89
2015,HHS,SAMHSA,51,175,177,49
2015,HHS,OS,314,1071,1113,272
2015,HHS,OASH,120,357,423,54
2015,HHS,ACL,0,11,11,0
2015,HUD,HQ,288,1004,981,311
2015,HUD,OIG,7,129,128,8
2015,HUD,R01,4,83,80,7
2015,HUD,R02,4,101,95,10
2015,HUD,R03,5,142,137,10
2015,HUD,R04,21,213,203,31
2015,HUD,R05,17,103,95,25
2015,HUD,R06,5,93,96,2
2015,HUD,R07,1,35,31,5
2015,HUD,R08,8,79,85,2
2015,HUD,R09,42,206,204,44
2015,HUD,R0X,7,42,45,4
2015,IAF,IAF,0,3,3,0
2015,IMLS,IMLS,2,34,33,3
2015,LSC,OLA,1,43,38,6
2015,LSC,OIG,0,11,11,0
2015,MCC,MCC,23,18,41,0
2015,MSPB,MSPB,21,165,136,50
2015,NARA,NARA,9361,22555,23591,8325
2015,NASA,AFRC,0,24,23,1
2015,NASA,ARC,6,42,41,7
2015,NASA,GRC,0,17,16,1
2015,NASA,GSFC,6,100,97,9
2015,NASA,HQ,9,231,231,9
2015,NASA,JPL,0,56,56,0
2015,NASA,JSC,4,133,126,11
2015,NASA,KSC,23,99,117,5
2015,NASA,LaRC,1,38,38,1
2015,NASA,MSFC,2,73,72,3
2015,NASA,NSSC,5,22,27,0
2015,NASA,OGC,0,0,0,0
2015,NASA,OIG,0,67,61,6
2015,NASA,SSC,1,21,18,4
2015,NCPC,NCPC,0,3,3,0
2015,NCUA,NCUA,2,89,86,5
2015,NEA,NEA,4,55,58,1
2015,NEH,NEH,3,62,61,4
2015,NIGC,NIGC,10,43,34,19
2015,NLRB,NLRB,145,4011,3679,477
2015,NMB,NMB,0,36,35,1
2015,NRPC,NRPC,25,257,182,100
2015,NSF,OGC,177,288,281,184
2015,NSF,OIG,3,14,17,0
2015,NTSB,NTSB,519,566,394,691
2015,ODNI,ODNI,229,395,321,303
2015,OGE,OGE,3,70,69,4
2015,OMB,OMB,33,198,163,68
2015,ONDCP,ONDCP,7,43,47,3
2015,ONHIR,ONHIR,0,179,179,0
2015,OPIC,OPIC,5,40,36,9
2015,OPM,OPM,333,10720,10854,199
2015,OSC,OSC,206,148,115,239
2015,OSHRC,OSHRC,2,53,55,0
2015,OSTP,OSTP,5,99,94,10
2015,PBGC,PBGC,86,2278,2217,147
2015,PC,FOIA Office,132,213,201,144
2015,PC,OIG,1,35,30,6
2015,PCLOB,PCLOB,1,11,12,0
2015,PRC,PRC,0,8,8,0
2015,SBA,SBA,24,955,926,53
2015,SEC,SEC,607,16898,16207,1298
2015,SIGAR,SIGAR,2,37,36,3
2015,SSA,SSA,2504,23208,22922,2790
2015,SSS,SSS,0,7,7,0
2015,State,DoS,10916,24747,13913,21750
2015,State,OIG,8,90,89,9
2015,STB,STB,0,65,65,0
2015,Treasury,BEP,9,82,83,8
2015,Treasury,DO,298,771,627,442
2015,Treasury,FinCEN,11,392,390,13
2015,Treasury,IRS,1118,10197,10416,899
2015,Treasury,MINT,1,95,96,0
2015,Treasury,OCC,78,1638,1634,82
2015,Treasury,TIGTA,18,312,308,22
2015,Treasury,TTB,1,108,106,3
2015,Treasury,Fiscal Service,13,327,327,13
2015,TVA,TVA,16,198,195,19
2015,U.S. CPSC,U.S. CPSC,254,715,770,199
2015,U.S. DOL,ADJ BDS,3,32,35,0
2015,U.S. DOL,ALJ,6,121,117,10
2015,U.S. DOL,ASP,9,11,17,3
2015,U.S. DOL,BLS,2,38,39,1
2015,U.S. DOL,CFO,1,3,3,1
2015,U.S. DOL,EBSA,89,507,540,56
2015,U.S. DOL,ETA,76,1649,1653,72
2015,U.S. DOL,EXEC SEC,0,0,0,0
2015,U.S. DOL,ILAB,8,13,17,4
2015,U.S. DOL,MSHA,118,1300,1307,111
2015,U.S. DOL,OASAM,24,169,157,36
2015,U.S. DOL,OCIA,4,29,14,19
2015,U.S. DOL,ODEP,0,7,6,1
2015,U.S. DOL,OFCCP,34,183,185,32
2015,U.S. DOL,OIG,17,83,60,40
2015,U.S. DOL,OLMS,10,91,95,6
2015,U.S. DOL,OPA,6,18,20,4
2015,U.S. DOL,OSEC,5,55,50,10
2015,U.S. DOL,OSHA,617,9123,9325,415
2015,U.S. DOL,OWCP,42,430,410,62
2015,U.S. DOL,SOL,19,53,64,8
2015,U.S. DOL,VETS,12,144,150,6
2015,U.S. DOL,WB,2,7,8,1
2015,U.S. DOL,WHD,511,2726,2832,405
2015,US ADF,US ADF,0,2,2,0
2015,US RRB,OIG,9,5,4,10
2015,US RRB,RRB,0,118,118,0
2015,USAB,USAB,0,11,11,0
2015,USAID,USAID,295,330,305,320
2015,USCCR,USCCR,1,21,22,0
2015,USDA,AMS,32,141,142,31
2015,USDA,APHIS,532,955,959,528
2015,USDA,ASCR,2,32,33,1
2015,USDA,FAS,1,52,46,7
2015,USDA,FNCS,50,495,462,83
2015,USDA,FS,543,2072,1935,680
2015,USDA,FSA,1453,14854,14232,2075
2015,USDA,FSIS,182,319,374,127
2015,USDA,GIPSA,1,75,74,2
2015,USDA,NAD,6,2,0,8
2015,USDA,NRCS,74,252,221,105
2015,USDA,OBPA,0,23,23,0
2015,USDA,OCFO,15,11,5,21
2015,USDA,OGC,16,17,12,21
2015,USDA,OIG,95,115,112,98
2015,USDA,OSEC/OCIO/DM,25,235,225,35
2015,USDA,RD,417,260,485,192
2015,USDA,REE,4,127,122,9
2015,USDA,RMA,17,95,97,15
2015,USIBWC,USIBWC,3,27,28,2
2015,USITC,USITC,1,31,30,2
2015,USNRC,USNRC,120,505,586,39
2015,USPS,PS,212,1765,1820,157
2015,USPS,OIG,10,480,474,16
2015,USPS,PIS,21,406,386,41
2015,USTDA,USTDA,10,18,6,22
2015,USTR,USTR,23,102,93,32
2015,VA,Admin,7,9,11,5
2015,VA,BVA,2,29,25,6
2015,VA,C&LA,3,48,34,17
2015,VA,CFM,71,71,116,26
2015,VA,GC,20,121,87,54
2015,VA,HRM,7,36,20,23
2015,VA,IG,25,527,522,30
2015,VA,Mgmt,5,29,21,13
2015,VA,NCA,30,59,40,49
2015,VA,OAL,39,330,321,48
2015,VA,OASHRA,10,7,4,13
2015,VA,OASP&IA,17,8,3,22
2015,VA,ODASB,0,0,0,0
2015,VA,ODASIA,3,18,1,20
2015,VA,ODI,1,2,1,2
2015,VA,OIT,38,219,142,115
2015,VA,ORM,1,39,37,3
2015,VA,OSDBU,4,27,20,11
2015,VA,OSP,0,5,4,1
2015,VA,P&P,1,4,2,3
2015,VA,PA,8,13,11,10
2015,VA,SEC,34,98,97,35
2015,VA,VBA,537,2492,2650,379
2015,VA,VHA,1579,25525,26267,837
